Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator D10                      0mil          0mil     1007.5mil   1002.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.562mil   1002.812mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.562mil    1002.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.688mil    1002.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.688mil   1002.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.75mil   1002.688mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.75mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.812mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.812mil   1002.438mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.875mil   1002.438mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.875mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.812mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.812mil   1001.562mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.75mil   1001.562mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.75mil     1001.5mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.688mil     1001.5mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.688mil   1001.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.562mil   1001.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.562mil   1001.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.438mil   1001.312mil          0mil          0mil  T          0.00 Comment        
